2021-02-08 08:28:32,875 DEBUG    Entering env context: <fiona.env.Env object at 0x0000005A70C7B548>
2021-02-08 08:28:32,875 DEBUG    Starting outermost env
2021-02-08 08:28:32,875 DEBUG    No GDAL environment exists
2021-02-08 08:28:32,875 DEBUG    New GDAL environment <fiona._env.GDALEnv object at 0x0000005A71091A88> created
2021-02-08 08:28:32,875 DEBUG    Logging error handler pushed.
2021-02-08 08:28:32,876 DEBUG    All drivers registered.
2021-02-08 08:28:32,876 DEBUG    GDAL_DATA found in environment: 'C:\\Users\\Mouris\\AppData\\Local\\Continuum\\anaconda3\\envs\\geo-python\\Library\\share\\gdal'.
2021-02-08 08:28:32,876 DEBUG    PROJ_LIB found in environment: 'C:\\Users\\Mouris\\AppData\\Local\\Continuum\\anaconda3\\envs\\geo-python\\Library\\share\\proj'.
2021-02-08 08:28:32,876 DEBUG    Started GDALEnv <fiona._env.GDALEnv object at 0x0000005A71091A88>.
2021-02-08 08:28:32,876 DEBUG    Updated existing <fiona._env.GDALEnv object at 0x0000005A71091A88> with options {}
2021-02-08 08:28:32,877 DEBUG    Entered env context: <fiona.env.Env object at 0x0000005A70C7B548>
2021-02-08 08:28:32,877 DEBUG    Got a copy of environment <fiona._env.GDALEnv object at 0x0000005A71091A88> options
2021-02-08 08:28:32,877 DEBUG    Credentialized: {'CHECK_WITH_INVERT_PROJ': True, 'GTIFF_IMPLICIT_JPEG_OVR': False, 'FIONA_ENV': True, 'GDAL_DATA': 'C:\\Users\\Mouris\\AppData\\Local\\Continuum\\anaconda3\\envs\\geo-python\\Library\\share\\gdal'}
2021-02-08 08:28:32,877 DEBUG    Exiting env context: <fiona.env.Env object at 0x0000005A70C7B548>
2021-02-08 08:28:32,877 DEBUG    Cleared existing <fiona._env.GDALEnv object at 0x0000005A71091A88> options
2021-02-08 08:28:32,878 DEBUG    Stopping GDALEnv <fiona._env.GDALEnv object at 0x0000005A71091A88>.
2021-02-08 08:28:32,878 DEBUG    Error handler popped.
2021-02-08 08:28:32,878 DEBUG    Stopped GDALEnv <fiona._env.GDALEnv object at 0x0000005A71091A88>.
2021-02-08 08:28:32,878 DEBUG    Exiting outermost env
2021-02-08 08:28:32,878 DEBUG    Exited env context: <fiona.env.Env object at 0x0000005A70C7B548>
